"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",2120.66853412844
"2","member","Sunday",887.633331306504
"3","casual","Monday",1831.67982573727
"4","member","Monday",758.721273350331
"5","casual","Tuesday",1574.52479287076
"6","member","Tuesday",736.717519302622
"7","casual","Wednesday",1599.38072359108
"8","member","Wednesday",738.555163870843
"9","casual","Thursday",1662.44286714162
"10","member","Thursday",746.568868110925
"11","casual","Friday",1726.76471013018
"12","member","Friday",766.939427748987
"13","casual","Saturday",2010.38011527793
"14","member","Saturday",877.418980720853
